Year	iYear	iGDP	iLabor	iCapStk	iQ	iX	iU	Country
1991	0	1.000	1.000	1.000	1.000	1.000	NA	ZM
1992	1	0.983	1.025	0.969	1.037	1.039	NA	ZM
1993	2	1.049	1.054	0.957	0.996	0.994	NA	ZM
1994	3	0.959	1.097	0.931	0.969	0.964	NA	ZM
1995	4	0.932	1.126	0.918	0.983	0.978	NA	ZM
1996	5	0.997	1.210	0.916	0.959	0.952	NA	ZM
1997	6	1.029	1.262	0.929	1.025	1.017	NA	ZM
1998	7	1.010	1.335	0.965	0.997	0.986	NA	ZM
1999	8	1.033	1.352	1.020	0.993	0.981	NA	ZM
2000	9	1.070	1.387	1.018	0.993	0.981	NA	ZM
2001	10	1.122	1.380	1.026	1.028	1.018	NA	ZM
2002	11	1.159	1.407	1.038	1.046	1.035	NA	ZM
2003	12	1.218	1.418	1.054	1.073	1.063	NA	ZM
2004	13	1.284	1.451	1.066	1.081	1.070	NA	ZM
2005	14	1.352	1.464	1.082	1.129	1.119	NA	ZM
2006	15	1.437	1.501	1.107	1.186	1.175	NA	ZM
2007	16	1.526	1.540	1.138	1.183	1.170	NA	ZM
2008	17	1.612	1.582	1.175	1.134	1.117	NA	ZM
2009	18	1.716	1.626	1.215	1.196	1.179	NA	ZM
2010	19	1.846	1.651	1.267	1.280	1.264	NA	ZM
2011	20	1.972	1.722	1.344	1.348	1.334	NA	ZM
